id,date,date_added,title,type,link,language,author,keywords,description,other,image,selected_collection
1,2008-10-31,,Bitcoin: A Peer-to-Peer Electronic Cash System ,article,https://www.bitcoin.org/bitcoin.pdf,en,Satoshi Nakamoto,whitepaper,A  purely   peer-to-peer   version   of   electronic   cash   would   allow   online payments   to   be   sent   directly   from   one   party   to   another   without   going   through   a financial institution.,,whitepaper.jpg,1
2,2018-03-02,,The Bullish Case for Bitcoin,article,https://vijayboyapati.medium.com/the-bullish-case-for-bitcoin-6ecc8bdecc1,en,Vijay Boyapati,"history, money","The bullish case for Bitcoin is compelling but far from obvious. There are significant risks to investing in Bitcoin, but, as I will argue, there is still an immense opportunity.",,bull.jpg,1
3,2021-05-05,,How Much Energy Does Bitcoin Actually Consume?,article,https://hbr.org/2021/05/how-much-energy-does-bitcoin-actually-consume,en,Nic Carter,"energy, environment","Today, Bitcoin consumes as much energy as a small country. This certainly sounds alarming — but the reality is a little more complicated. The author discusses several common misconceptions surrounding the Bitcoin sustainability debate, and ultimately argues that it’s up to the crypto community to acknowledge and address environmental concerns, work in good faith to reduce Bitcoin’s carbon footprint, and ultimately demonstrate that the societal value that Bitcoin provides is worth the resources needed to sustain it.",,,
4,2020-10-27,,Three Myths about Bitcoin’s Energy Consumption,article,https://blog.trezor.io/three-myths-about-bitcoins-energy-consumption-ef613a1f3d5,en,Dominik Stroukal,"energy, environment",,,,
5,2021-05,,On Bitcoin's Energy Consumption: A Quantitative Approach to a Subjective Question,article,https://docsend.com/view/adwmdeeyfvqwecj2,en,Galaxy Digital Mining,"mining, energy",,,,
6,2019-06-16,,Natural gas venting: How Bitcoin solved a 160 year old problem,article,https://www.upstreamdata.ca/post/natural-gas-venting-how-bitcoin-solved-a-160-year-old-problem,en,Steve Barbour,"natural-gas, energy","Vented natural gas is the controlled release of produced gas into the atmosphere. It typically comes out of solution with the produced oil but in many cases it is simply leakage from pipe, valves, tanks or instrumentation. Some facilities have infrequent, small releases while some sites release gas up to and beyond regulated limits. Natural gas release is a particularly bad carbon emitter because it is mostly made of methane, which has 25 - 30 times the global warming potential than carbon dioxide per unit mass.",,,
7,2019-08-16,,Bitcoin Does Not Waste Energy,article,https://nakamotoinstitute.org/mempool/bitcoin-does-not-waste-energy/,en,Parker Lewis,energy,,,,
8,2021-05-28,,Bitcoin Mining and the Case for More Energy,article,https://bitcoinandenergy.medium.com/bitcoin-mining-and-the-case-for-more-energy-90094ce25fac,en,"Hodl'n Caulfield, Selene Lindstrom","energy, mining",,,,
9,2020-11-13,,Addressing Persisting Bitcoin Criticisms,article,https://www.fidelitydigitalassets.com/articles/addressing-bitcoin-criticisms,en,Ria Bhutoria,"volatility, store-of-value, energy, illegal, competitor, not-backed-by-anything","In this piece, we review and respond to criticisms and misconceptions that continue to come up in our conversations. The criticisms outlined below have been addressed many times over, but we wanted to share an updated response given the increase in attention on Bitcoin.",,,
10,,,Critique #4: Bitcoin Wastes Energy,article,https://casebitcoin.com/critiques/bitcoin-wastes-energy,en,Case Bitcoin,energy,"Bitcoin's energy spend is required to do three things: fairly distribute new bitcoin according to bitcoin's monetary policy, allow anyone to participate in the bitcoin network on even footing, and create the strong security assurances around bitcoin's transaction settlement. Any financial system will have certain properties and guarantees, and they never come for free.",,,
11,,,End the FUD,collection,https://endthefud.org,en,,fud,"A collection of articles addressing the usual FUD, sorted by category",,,
12,,,Estudio Bitcoin,collection,https://estudiobitcoin.com,es,,,A bit of everything to introduce you to the world of Bitcoin,,,
13,,,Bitcoiner books,collection,https://www.bitcoinerbooks.com,en,,,A collection of books for Bitcoiners,,,
14,,,Case Bitcoin,collection,https://casebitcoin.com/,en,Case Bitcoin,,Making the case for bitcoin every day with articles and other resources,,,
15,,,Libbitcoin,collection,https://github.com/libbitcoin/libbitcoin-system/wiki,en,,c++,The libbitcoin toolkit is a set of cross platform C++ libraries for building bitcoin applications. There are also in this resource a lot of articles discussing Bitcoin from different points of view.,,,
16,,,Getting started with Bitcoin,collection,https://www.lopp.net/bitcoin-information/getting-started.html#misconceptions,en,,,"A collection of articles for getting started with Bitcoin, from the first steps to the misconceptions, and much more.",,,
17,,,"Why Bitcoin, The Series",collection,https://tomerstrolight.medium.com/why-bitcoin-the-series-660fe20ec244,en,Tomer Strolight,,"Bitcoin is a vast subject, with countless facets, angles and perspectives. It can be looked at, thought about and appreciated in many ways. By writing very short pieces I hope to take a single snapshot of Bitcoin from a different perspective with each one, so that the reader may upon finishing, better understand the whole.",,,
18,,,"Gradually, Then Suddenly",collection,https://nakamotoinstitute.org/mempool/series/gradually-then-suddenly/,en,Parker Lewis,,A series of articles of reference in the Bitcoin world,,,
19,2019-12,,Bitcoin Mining Network Update,article,https://coinshares.com/research/bitcoin-mining-network-december-2019,en,CoinShares,"mining, energy","The Bitcoin mining industry is notoriously opaque and misconceptions about the network are common,so we strive to separate the facts from fiction. In this fourth edition of our biannual report we investigate the geographic distribution, composition, efficiency, electricity consumption and  electricity sources of the Bitcoin mining network. We also investigate trends in hashrate, hardware costs, hardware efficiency and marginal creation costs. This is the definitive resource on theBitcoin mining network.",,,
20,2018-09-14,,PoW is Efficient,article,https://danhedl.medium.com/pow-is-efficient-aa3d442754d3,en,Dan Held,"energy, mining, pow","Most people think #Bitcoin’s PoW is “wasteful.” In this article, I explore how everything is energy, money is energy, energy usage is subjective, and PoW’s energy costs relative to existing governance systems. This article is a collection of direct thoughts from many individuals in the space — my value-add was in the aggregation, distillation, and combination of narratives.",,,
21,2017-04-07,,Op Ed: Bitcoin Miners Consume A Reasonable Amount of Energy — And It's All Worth It,article,https://bitcoinmagazine.com/business/op-ed-bitcoin-miners-consume-reasonable-amount-energy-and-its-all-worth-it,en,Marc Bevand,"mining, energy","We have all seen photos of large data centers hosting mining hardware built from specialized ASICs designed to solve the Bitcoin proof-of-work (a double SHA256 hash.) These data centers tend to be located in places with inexpensive electricity, often where hydroelectricity is plentiful, like Washington State in the U.S. But how much electricity is consumed by these miners? Knowing this helps us to better understand the economics and financial opportunities of Bitcoin mining. Previous estimates have not been very accurate, often making simplistic assumptions. So I decided to conduct the most exhaustive research on this topic that I could.",,,
22,2018-01-09,,Bitcoin Mining Wastes Energy? What If That’s Good?,article,https://www.coindesk.com/bitcoin-mining-wastes-energy-thats-good-thing,en,Michael J. Casey,"mining, energy","I am frustrated by the debate over whether or not bitcoin is an environmental disaster waiting to happen. No one seems to know what assumptions to use. Depending on what efficiency ratios we assume for currently operating ASIC mining rigs, they’re either consuming 35 terawatt-hours per year, the equivalent of Denmark, or something far less, closer perhaps to Bolivia. The stinginess of mining pools to provide information about their operations can be partly blamed for this.",,,
23,2020-03-23,,Bitcoin: A Bold American Future,article,https://journal.bitcoinreserve.com/bitcoin-a-bold-american-future/,en,Conner Brown,"mining, energy, america","America’s future is in question. Public and private debt are rising to record levels and economic growth remains stagnant. Despite unprecedented fiscal and monetary intervention after the financial crisis, results have been disappointing. The American people do not need accounting tricks or more debt, but true innovation. Thankfully, Bitcoin provides a way forward.",,,
24,2021-05-24,,FACT CHECK: Is Bitcoin mining environmentally unfriendly?,article,https://blog.coinbase.com/fact-check-is-bitcoin-mining-environmentally-unfriendly-3559823af6f1,en,Coinbase,"mining, environment, energy","As Bitcoin has become increasingly mainstream, questions about how it works have naturally arisen among both investors and the general public. One of those questions is about the potential environmental impact of mining, which is the process the blockchain uses to generate new bitcoin and verify transactions.",,,
25,2017-12-17,,Energy Exhaustion Fallacy,article,https://github.com/libbitcoin/libbitcoin-system/wiki/Energy-Exhaustion-Fallacy,en,Eric Voskuil,"energy, exhaustion, pow","The purpose of any security measure is to create a cost necessary to overcome the measure; i.e. a financial barrier. Bitcoin creates its double-spend barrier by compelling the attacker to replace the branch of the targeted transaction with one of probabilistically greater work. Interestingly, such a replacement raises the barrier to subsequent attackers. The energy expended is not independently important, the erected barrier is the attacker's necessary financial burden.",,,
26,,,Un podcast sobre Bitcoin,podcast,https://albertomera.org/un-podcast-sobre-bitcoin/,es,Alberto Mera,"technology, economics, investments","Bitcoin como tecnología, como activo de inversión, como idea. Cada semana discuto estos aspectos con gestores de fondos, participantes del sector financiero, techies, liberales y otras personas relevantes de este sector en auge.",,,
27,,,Lunaticoin,podcast,https://anchor.fm/lunaticoin/,es,Lunaticoin,"technology, economics, investments",Conecto con personas de habla hispana con perfil propio dentro del mundo #bitcoin y comparto su valor,,,
